Gene	HUGO	Chromosome	Strand	Transcript	TranscriptLength	nIntrons	IntronNb	IntronLength	IntronStart	IntronEnd	canonical
ENSG00000152061	RABGAP1L	1	1	ENST00000357444	2605	13	12	153692	174363283	174516975	0
ENSG00000152061	RABGAP1L	1	1	ENST00000251507	2899	20	12	243230	174363283	174606513	1
ENSG00000152061	RABGAP1L	1	1	ENST00000251507	2899	20	16	50057	174671394	174721451	1
ENSG00000152061	RABGAP1L	1	1	ENST00000251507	2899	20	17	59478	174721492	174780970	1
ENSG00000152061	RABGAP1L	1	1	ENST00000251507	2899	20	18	145496	174781098	174926594	1
ENSG00000152061	RABGAP1L	1	1	ENST00000367690	1808	6	5	150699	174363283	174513982	0
ENSG00000152061	RABGAP1L	1	1	ENST00000469553	2103	12	3	65432	174781098	174846530	0
ENSG00000152061	RABGAP1L	1	1	ENST00000469553	2103	12	4	79851	174846743	174926594	0
ENSG00000266125	AL022400.1	1	1	ENST00000585310	91	0	-9	-9	-9	-9	1
ENSG00000203737	GPR52	1	1	ENST00000367685	1472	0	-9	-9	-9	-9	1
ENSG00000223828	BANF1P4	1	-1	ENST00000420029	270	0	-9	-9	-9	-9	1
ENSG00000231378	NDUFAF4P4	1	-1	ENST00000454883	502	0	-9	-9	-9	-9	1
ENSG00000223525	RABGAP1L-IT1	1	1	ENST00000414890	737	1	0	303	174866611	174866914	1
ENSG00000252552	U6	1	1	ENST00000516743	106	0	-9	-9	-9	-9	1
ENSG00000116161	CACYBP	1	1	ENST00000367679	2766	5	0	4419	174969331	174973750	1
ENSG00000120333	MRPS14	1	-1	ENST00000476371	2115	2	0	4788	174987712	174992500	1
ENSG00000206659	Y_RNA	1	-1	ENST00000383932	102	0	-9	-9	-9	-9	1
ENSG00000181101	SDCCAG3P2	1	-1	ENST00000326105	1023	0	-9	-9	-9	-9	1
ENSG00000120332	TNN	1	1	ENST00000239462	5008	18	8	18344	175067731	175086075	1
ENSG00000235750	KIAA0040	1	-1	ENST00000545251	2485	2	0	25903	175135873	175161776	1
ENSG00000265365	KIAA0040	1	-1	ENST00000546143	4340	1	0	5416	175130282	175135698	1
ENSG00000116147	TNR	1	-1	ENST00000367674	5344	22	0	214857	175497505	175712362	1
ENSG00000116147	TNR	1	-1	ENST00000367674	5344	22	1	121492	175375913	175497405	1
ENSG00000116147	TNR	1	-1	ENST00000263525	5190	23	0	86622	175625751	175712373	0
ENSG00000116147	TNR	1	-1	ENST00000263525	5190	23	1	128236	175497505	175625741	0
ENSG00000235628	TNR-IT1	1	-1	ENST00000455447	630	1	0	17415	175508312	175525727	1
ENSG00000143207	RFWD2	1	-1	ENST00000367669	3033	19	17	39704	175916375	175956079	1
ENSG00000252906	SCARNA3	1	-1	ENST00000517097	143	0	-9	-9	-9	-9	1
ENSG00000253025	U2	1	-1	ENST00000517216	168	0	-9	-9	-9	-9	1
ENSG00000225904	MORF4L1P7	1	-1	ENST00000426038	703	0	-9	-9	-9	-9	1
ENSG00000116183	PAPPA2	1	1	ENST00000367662	9685	22	0	91989	176432554	176524543	1
ENSG00000116183	PAPPA2	1	1	ENST00000367662	9685	22	2	75375	176564731	176640106	1
ENSG00000237514	PTP4A1P7	1	-1	ENST00000422603	522	0	-9	-9	-9	-9	1
ENSG00000152092	ASTN1	1	-1	ENST00000367657	4187	22	0	103129	177030401	177133530	0
ENSG00000198797	FAM5B	1	1	ENST00000361539	3558	7	0	58069	177140868	177198937	1
ENSG00000222749	AL021398.1	1	-1	ENST00000410817	93	0	-9	-9	-9	-9	1
ENSG00000266393	AL122019.1	1	1	ENST00000390740	91	0	-9	-9	-9	-9	1
ENSG00000120341	SEC16B	1	-1	ENST00000308284	3985	25	11	3972	177917077	177921049	1
ENSG00000224687	RASAL2-AS1	1	-1	ENST00000421505	2329	1	0	149	178062547	178062696	1
ENSG00000075391	RASAL2	1	1	ENST00000367649	4378	17	0	188870	178063829	178252699	1
ENSG00000075391	RASAL2	1	1	ENST00000367649	4378	17	2	89982	178269253	178359235	1
ENSG00000075391	RASAL2	1	1	ENST00000465723	718	5	3	158063	178094636	178252699	0
ENSG00000240021	TEX35	1	1	ENST00000319416	1023	8	4	3698	178485809	178489507	1
ENSG00000213057	C1orf220	1	1	ENST00000319387	2595	2	1	1191	178515038	178516229	1
ENSG00000184909	C1ORF220	1	1	ENST00000367636	2113	2	0	2328	178512020	178514348	1
ENSG00000201347	RNA5SP69	1	1	ENST00000364477	117	0	-9	-9	-9	-9	1
ENSG00000116191	RALGPS2	1	1	ENST00000495034	1970	9	0	51263	178694554	178745817	0
ENSG00000228196	PTPN2P1	1	-1	ENST00000423212	1072	0	-9	-9	-9	-9	1
ENSG00000201791	SNORA63	1	-1	ENST00000364921	119	0	-9	-9	-9	-9	1
ENSG00000116194	ANGPTL1	1	-1	ENST00000234816	3348	5	2	11167	178822922	178834089	1
ENSG00000116199	FAM20B	1	1	ENST00000263733	5984	7	0	17617	178995233	179012850	1
ENSG00000186283	TOR3A	1	1	ENST00000367627	2724	5	3	6004	179057224	179063228	1
ENSG00000143322	ABL2	1	-1	ENST00000502732	12144	11	0	95867	179102509	179198376	1
ENSG00000143322	ABL2	1	-1	ENST00000367623	3486	10	0	97760	179100616	179198376	0
ENSG00000231905	SETP10	1	1	ENST00000424368	814	0	-9	-9	-9	-9	1
ENSG00000212338	SNORA67	1	1	ENST00000391036	107	0	-9	-9	-9	-9	1
ENSG00000201619	SNORA67	1	1	ENST00000364749	141	0	-9	-9	-9	-9	1
ENSG00000231564	EIF4A1P11	1	1	ENST00000451239	222	0	-9	-9	-9	-9	1
ENSG00000223794	COX5BP8	1	1	ENST00000416911	349	0	-9	-9	-9	-9	1
ENSG00000057252	SOAT1	1	1	ENST00000367619	6835	15	1	20635	179271937	179292572	1
ENSG00000162779	AXDND1	1	1	ENST00000367618	3642	25	15	23239	179414339	179437578	1
ENSG00000224620	MEF2AP1	1	-1	ENST00000454867	863	0	-9	-9	-9	-9	1
ENSG00000269064	AL160286.1	1	-1	ENST00000600581	129	1	0	13962	179443776	179457738	1
ENSG00000116218	NPHS2	1	-1	ENST00000367615	1855	7	0	10798	179533928	179544726	1
ENSG00000251875	RNU5F-2P	1	1	ENST00000516066	82	0	-9	-9	-9	-9	1
ENSG00000162782	TDRD5	1	1	ENST00000444136	3678	17	3	22781	179564953	179587734	1
ENSG00000221547	AL359853.1	1	-1	ENST00000408620	97	0	-9	-9	-9	-9	1
ENSG00000143340	FAM163A	1	1	ENST00000341785	2909	4	0	64375	179712558	179776933	1
ENSG00000169905	TOR1AIP2	1	-1	ENST00000367612	7905	5	1	24428	179821946	179846374	1
ENSG00000258664	IFRG15	1	-1	ENST00000553856	396	0	-9	-9	-9	-9	1
ENSG00000143337	TOR1AIP1	1	1	ENST00000435319	2102	9	2	10757	179858504	179869261	1
ENSG00000135837	CEP350	1	1	ENST00000367607	13491	37	0	31027	179924277	179955304	1
ENSG00000116260	QSOX1	1	1	ENST00000367602	9311	11	0	11319	180124307	180135626	1
ENSG00000121454	LHX4	1	1	ENST00000263726	7083	5	1	17936	180217591	180235527	1
ENSG00000135847	ACBD6	1	-1	ENST00000496993	672	6	2	82794	180283857	180366651	0
ENSG00000135847	ACBD6	1	-1	ENST00000475338	964	5	1	70954	180295697	180366651	0
ENSG00000135847	ACBD6	1	-1	ENST00000367595	1670	7	2	62007	180399397	180461404	1
ENSG00000235060	VDAC1P4	1	1	ENST00000450197	835	1	0	303	180404393	180404696	1
ENSG00000206905	Y_RNA	1	-1	ENST00000384178	104	0	-9	-9	-9	-9	1
ENSG00000266683	AL358354.1	1	1	ENST00000584462	100	0	-9	-9	-9	-9	1
ENSG00000143324	XPR1	1	1	ENST00000367590	8474	14	0	50090	180601406	180651496	1
ENSG00000143324	XPR1	1	1	ENST00000367590	8474	14	1	105342	180651547	180756889	1
ENSG00000206753	U6	1	1	ENST00000384026	96	0	-9	-9	-9	-9	1
ENSG00000266825	AL590085.1	1	-1	ENST00000579998	98	0	-9	-9	-9	-9	1
ENSG00000135835	KIAA1614	1	1	ENST00000367588	9654	8	2	10516	180887050	180897566	1
ENSG00000234237	AL162431.1	1	1	ENST00000457152	168	1	0	8007	180941705	180949712	1
ENSG00000135823	STX6	1	-1	ENST00000258301	4851	7	0	17176	180974599	180991775	1
ENSG00000153029	MR1	1	1	ENST00000367580	7704	5	0	14978	181003210	181018188	1
ENSG00000162783	IER5	1	1	ENST00000367577	2340	0	-9	-9	-9	-9	1
ENSG00000198216	CACNA1E	1	1	ENST00000524607	1795	10	0	70164	181382716	181452880	0
ENSG00000198216	CACNA1E	1	1	ENST00000524607	1795	10	3	66256	181480646	181546902	0
ENSG00000198216	CACNA1E	1	1	ENST00000524607	1795	10	6	70562	181549912	181620474	0
ENSG00000198216	CACNA1E	1	1	ENST00000524607	1795	10	7	59513	181620577	181680090	0
ENSG00000252977	RNA5SP70	1	1	ENST00000517168	79	0	-9	-9	-9	-9	1
ENSG00000222397	7SK	1	-1	ENST00000410465	302	0	-9	-9	-9	-9	1
ENSG00000179930	ZNF648	1	-1	ENST00000339948	3649	1	0	3495	182027208	182030703	1
ENSG00000232309	GS1-122H1.1	1	-1	ENST00000412174	628	2	0	478	182097062	182097540	1
ENSG00000228918	GS1-122H1.2	1	-1	ENST00000426309	2631	16	4	36661	182136359	182173020	1
ENSG00000228918	GS1-122H1.2	1	-1	ENST00000449842	571	2	1	109385	182173240	182282625	0
ENSG00000232096	GS1-122H1.3	1	-1	ENST00000419731	367	0	-9	-9	-9	-9	1
ENSG00000206764	U6	1	1	ENST00000384037	107	0	-9	-9	-9	-9	1
ENSG00000135821	GLUL	1	-1	ENST00000311223	4719	7	1	1747	182357885	182359632	1
ENSG00000203730	TEDDM1	1	-1	ENST00000367565	2500	0	-9	-9	-9	-9	1
ENSG00000233537	TEDDM1P1	1	1	ENST00000414169	786	0	-9	-9	-9	-9	1
ENSG00000121446	RGSL1	1	1	ENST00000294854	3696	21	8	28875	182462264	182491139	1
ENSG00000135828	RNASEL	1	-1	ENST00000367559	4238	6	4	4836	182545524	182550360	1
ENSG00000143333	RGS16	1	-1	ENST00000367558	2427	4	3	1453	182569648	182571101	1
ENSG00000135824	RGS8	1	-1	ENST00000258302	765	5	3	17666	182617438	182635104	1
ENSG00000264809	AL513344.1	1	1	ENST00000580448	100	0	-9	-9	-9	-9	1
ENSG00000135838	NPL	1	1	ENST00000367553	2231	11	1	9259	182763574	182772833	1
ENSG00000135829	DHX9	1	1	ENST00000367549	4240	27	2	8799	182812569	182821368	1
ENSG00000157060	SHCBP1L	1	-1	ENST00000367547	2317	9	5	23998	182874784	182898782	1
ENSG00000224040	HMGN1P4	1	-1	ENST00000419500	290	0	-9	-9	-9	-9	1
ENSG00000199837	RNA5SP71	1	-1	ENST00000362967	126	0	-9	-9	-9	-9	1
ENSG00000176855	KRT18P28	1	-1	ENST00000453838	1332	0	-9	-9	-9	-9	1
ENSG00000264768	AL450304.1	1	-1	ENST00000580734	91	0	-9	-9	-9	-9	1
ENSG00000207472	RNU6-3	1	-1	ENST00000384741	107	0	-9	-9	-9	-9	1
ENSG00000135862	LAMC1	1	1	ENST00000258341	7889	27	0	79194	182993269	183072463	1
ENSG00000058085	LAMC2	1	1	ENST00000264144	5147	22	0	21450	183155566	183177016	1
ENSG00000157064	NMNAT2	1	-1	ENST00000287713	5663	10	0	124390	183262928	183387318	1
ENSG00000232860	SMG7-AS1	1	-1	ENST00000532582	2246	0	-9	-9	-9	-9	1
ENSG00000116698	SMG7	1	1	ENST00000507469	4642	22	0	40188	183441784	183481972	1
ENSG00000265042	AL137800.1	1	-1	ENST00000577540	90	0	-9	-9	-9	-9	1
ENSG00000116701	NCF2	1	-1	ENST00000367535	2226	14	1	9188	183546842	183556030	1
ENSG00000162704	ARPC5	1	-1	ENST00000294742	1637	3	2	2867	183596729	183599596	1
ENSG00000143344	RGL1	1	1	ENST00000367531	5068	18	0	105657	183605636	183711293	0
ENSG00000143344	RGL1	1	1	ENST00000367531	5068	18	1	64085	183711424	183775509	0
ENSG00000143344	RGL1	1	1	ENST00000304685	5113	18	0	105625	183605636	183711261	1
ENSG00000143344	RGL1	1	1	ENST00000536277	3203	18	0	60902	183605636	183666538	0
ENSG00000143344	RGL1	1	1	ENST00000536277	3203	18	2	105276	183711424	183816700	0
ENSG00000173627	APOBEC4	1	-1	ENST00000308641	2648	1	0	4261	183617946	183622207	1
ENSG00000198756	GLT25D2	1	-1	ENST00000361927	5177	11	0	58575	183947654	184006229	1
ENSG00000198860	TSEN15	1	1	ENST00000361641	1960	4	2	17294	184023997	184041291	1
ENSG00000199840	Y_RNA	1	-1	ENST00000362970	110	0	-9	-9	-9	-9	1
ENSG00000207080	Y_RNA	1	1	ENST00000384352	108	0	-9	-9	-9	-9	1
ENSG00000116667	C1orf21	1	1	ENST00000235307	10265	5	0	90018	184356502	184446520	1
ENSG00000116667	C1orf21	1	1	ENST00000235307	10265	5	2	83057	184476816	184559873	1
ENSG00000230470	GS1-115G20.1	1	1	ENST00000414377	423	1	0	3602	184377548	184381150	1
ENSG00000232036	GS1-115G20.2	1	1	ENST00000245811	1325	0	-9	-9	-9	-9	1
ENSG00000252790	SNORD112	1	1	ENST00000516981	74	0	-9	-9	-9	-9	1
ENSG00000116406	EDEM3	1	-1	ENST00000318130	6898	19	1	11836	184706845	184718681	1
ENSG00000135842	FAM129A	1	-1	ENST00000367511	6928	13	0	74992	184868442	184943434	1
ENSG00000135842	FAM129A	1	-1	ENST00000367511	6928	13	4	52671	184801096	184853767	1
ENSG00000252222	RNU7-13P	1	-1	ENST00000516413	62	0	-9	-9	-9	-9	1
ENSG00000260976	GS1-120K12.4	1	1	ENST00000566476	1091	1	0	6067	184970759	184976826	1
ENSG00000201312	RNA5SP72	1	-1	ENST00000364442	117	0	-9	-9	-9	-9	1
ENSG00000121481	RNF2	1	1	ENST00000367510	3606	6	0	41903	185014781	185056684	1
ENSG00000232792	FTH1P25	1	-1	ENST00000447665	469	0	-9	-9	-9	-9	1
ENSG00000121486	TRMT1L	1	-1	ENST00000367506	4392	14	9	8859	185097879	185106738	1
ENSG00000116668	SWT1	1	1	ENST00000367500	3830	18	15	39615	185200840	185240455	1
ENSG00000231084	CTA-253N17.1	1	-1	ENST00000413694	376	0	-9	-9	-9	-9	1
ENSG00000201421	Y_RNA	1	1	ENST00000364551	99	0	-9	-9	-9	-9	1
ENSG00000206640	Y_RNA	1	-1	ENST00000383913	105	0	-9	-9	-9	-9	1
ENSG00000252612	Y_RNA	1	1	ENST00000516803	93	0	-9	-9	-9	-9	1
ENSG00000116679	IVNS1ABP	1	-1	ENST00000367498	4199	14	0	5631	185280454	185286085	1
ENSG00000261024	GS1-279B7.1	1	-1	ENST00000563533	635	3	2	8992	185293160	185302152	1
ENSG00000252407	U7	1	1	ENST00000516598	62	0	-9	-9	-9	-9	1
ENSG00000228309	GS1-204I12.2	1	1	ENST00000439633	616	2	0	4493	185527807	185532300	1
ENSG00000232279	GS1-204I12.1	1	-1	ENST00000436955	642	4	3	14060	185576533	185590593	1
ENSG00000207108	Y_RNA	1	-1	ENST00000384380	101	0	-9	-9	-9	-9	1
ENSG00000201596	Y_RNA	1	-1	ENST00000364726	110	0	-9	-9	-9	-9	1
ENSG00000261729	GS1-204I12.4	1	1	ENST00000569292	901	1	0	1267	185624342	185625609	1
ENSG00000143341	HMCN1	1	1	ENST00000271588	18208	106	0	110979	185704179	185815158	1
ENSG00000224691	GS1-174L6.4	1	-1	ENST00000428391	353	1	0	137	186146040	186146177	1
ENSG00000116690	PRG4	1	1	ENST00000445192	5044	12	1	3140	186266083	186269223	1
ENSG00000202025	U6	1	-1	ENST00000365155	104	0	-9	-9	-9	-9	1
ENSG00000047410	TPR	1	-1	ENST00000367478	7538	50	3	4441	186332577	186337018	1
ENSG00000157181	C1orf27	1	1	ENST00000287859	3792	13	11	11276	186375400	186386676	1
ENSG00000268662	AL596220.1	1	-1	ENST00000598663	135	2	1	1614	186364150	186365764	1
ENSG00000262180	OCLM	1	1	ENST00000574641	884	0	-9	-9	-9	-9	1
ENSG00000116703	PDC	1	-1	ENST00000391997	1242	3	0	11576	186418615	186430191	1
ENSG00000228238	GS1-304P7.2	1	1	ENST00000456921	1021	0	-9	-9	-9	-9	1
ENSG00000233196	GS1-304P7.1	1	-1	ENST00000450032	677	0	-9	-9	-9	-9	1
ENSG00000073756	PTGS2	1	-1	ENST00000367468	4514	9	0	801	186648570	186649371	1
ENSG00000116711	PLA2G4A	1	1	ENST00000367466	2875	17	0	25251	186798167	186823418	1
ENSG00000225462	FDPSP1	1	1	ENST00000424976	1071	0	-9	-9	-9	-9	1
ENSG00000230426	ERVMER61-1	1	1	ENST00000429725	2393	2	1	137	187610613	187610750	1
ENSG00000222240	7SK	1	-1	ENST00000410308	342	0	-9	-9	-9	-9	1
ENSG00000252553	RNA5SP73	1	-1	ENST00000516744	108	0	-9	-9	-9	-9	1
ENSG00000162670	FAM5C	1	-1	ENST00000484105	2887	7	1	173071	190250729	190423800	0
ENSG00000162670	FAM5C	1	-1	ENST00000484105	2887	7	5	65192	190130020	190195212	0
ENSG00000162670	FAM5C	1	-1	ENST00000484105	2887	7	6	61534	190068264	190129798	0
ENSG00000162670	FAM5C	1	-1	ENST00000367462	2889	7	1	172905	190250880	190423785	1
ENSG00000162670	FAM5C	1	-1	ENST00000445957	720	2	1	173056	190250729	190423785	0
ENSG00000162670	FAM5C	1	-1	ENST00000534846	2544	6	1	189600	190234185	190423785	0
ENSG00000150681	RGS18	1	1	ENST00000367460	2150	4	2	20853	192129569	192150422	1
ENSG00000253148	RGS21	1	1	ENST00000417209	1794	4	0	25872	192286235	192312107	1
ENSG00000221145	AL136987.1	1	-1	ENST00000408218	93	0	-9	-9	-9	-9	1
ENSG00000090104	RGS1	1	1	ENST00000367459	1405	4	2	1387	192545965	192547352	1
ENSG00000127074	RGS13	1	1	ENST00000391995	1505	6	4	10214	192617117	192627331	1
ENSG00000116741	RGS2	1	1	ENST00000235382	1344	4	0	985	192778311	192779296	1
ENSG00000223075	7SK	1	-1	ENST00000411143	300	0	-9	-9	-9	-9	1
ENSG00000234473	ZNF101P2	1	-1	ENST00000439152	1229	0	-9	-9	-9	-9	1
ENSG00000116750	UCHL5	1	-1	ENST00000367455	1818	10	2	20089	192998787	193018876	1
ENSG00000116747	TROVE2	1	1	ENST00000367446	3081	8	0	8812	193029352	193038164	1
ENSG00000023572	GLRX2	1	-1	ENST00000367440	1131	3	0	4313	193070334	193074647	1
ENSG00000134371	CDC73	1	1	ENST00000367435	4969	16	9	51351	193121574	193172925	1
ENSG00000162630	B3GALT2	1	-1	ENST00000367434	3274	1	0	4337	193150812	193155149	1
ENSG00000252241	U3	1	-1	ENST00000516432	87	0	-9	-9	-9	-9	1
ENSG00000237213	RPL23AP22	1	-1	ENST00000437556	453	0	-9	-9	-9	-9	1
ENSG00000233057	EEF1A1P14	1	1	ENST00000421195	1376	0	-9	-9	-9	-9	1
ENSG00000251813	U6	1	-1	ENST00000516004	103	0	-9	-9	-9	-9	1
ENSG00000265108	AL357932.1	1	1	ENST00000581340	96	0	-9	-9	-9	-9	1
ENSG00000162687	KCNT2	1	-1	ENST00000367433	5883	26	0	115874	196461471	196577345	0
ENSG00000162687	KCNT2	1	-1	ENST00000451324	3146	23	7	66622	196367801	196434423	0
ENSG00000000971	CFH	1	1	ENST00000367429	4127	21	8	23496	196659369	196682865	1
ENSG00000116785	CFHR3	1	1	ENST00000367425	1645	5	2	8243	196749103	196757346	1
ENSG00000244414	CFHR1	1	1	ENST00000320493	1271	5	0	5575	196789032	196794607	1
ENSG00000080910	CFHR2	1	1	ENST00000367415	1062	4	2	6863	196920158	196927021	1
ENSG00000080910	CFHR2	1	1	ENST00000367421	1036	4	0	129553	196789032	196918585	0
ENSG00000134365	CFHR4	1	1	ENST00000367416	2178	9	0	14213	196857338	196871551	1
ENSG00000134389	CFHR5	1	1	ENST00000256785	2810	9	2	9943	196953267	196963210	1
ENSG00000143278	F13B	1	-1	ENST00000367412	2217	11	9	9962	197009865	197019827	1
ENSG00000066279	ASPM	1	-1	ENST00000367409	10887	27	16	12604	197074315	197086919	1
ENSG00000177888	ZBTB41	1	-1	ENST00000367405	2833	9	8	12146	197129144	197141290	1
ENSG00000134376	CRB1	1	1	ENST00000475659	2423	4	0	59940	197237612	197297552	0
ENSG00000134376	CRB1	1	1	ENST00000484075	5174	11	4	63987	197326143	197390130	0
ENSG00000134376	CRB1	1	1	ENST00000476483	573	1	0	60521	197329609	197390130	0
ENSG00000134376	CRB1	1	1	ENST00000535699	4691	14	0	100852	197170718	197271570	0
ENSG00000221879	MRPS21P3	1	1	ENST00000436696	262	0	-9	-9	-9	-9	1
ENSG00000213047	DENND1B	1	-1	ENST00000294737	3043	19	1	57794	197684204	197741998	0
ENSG00000213047	DENND1B	1	-1	ENST00000422998	583	7	1	98699	197643299	197741998	0
ENSG00000207139	Y_RNA	1	-1	ENST00000384410	101	0	-9	-9	-9	-9	1
ENSG00000213046	EEF1A1P32	1	1	ENST00000418613	1347	2	0	387	197658206	197658593	1
ENSG00000233040	FAM204BP	1	-1	ENST00000369171	701	0	-9	-9	-9	-9	1
ENSG00000203724	C1orf53	1	1	ENST00000367393	588	2	0	2883	197872043	197874926	1
ENSG00000143355	LHX9	1	1	ENST00000367387	2503	4	2	5932	197890789	197896721	1
ENSG00000151414	NEK7	1	1	ENST00000367385	4149	9	0	75277	198126406	198201683	1
ENSG00000151414	NEK7	1	1	ENST00000442588	519	3	0	63723	198126406	198190129	0
ENSG00000151414	NEK7	1	1	ENST00000538004	1036	9	0	75457	198126226	198201683	0
ENSG00000151418	ATP6V1G3	1	-1	ENST00000281087	628	3	1	11388	198498311	198509699	1
ENSG00000081237	PTPRC	1	1	ENST00000367379	517	6	1	53005	198608471	198661476	0
ENSG00000081237	PTPRC	1	1	ENST00000427110	264	3	0	53012	198608464	198661476	0
ENSG00000236278	PEBP1P3	1	-1	ENST00000455475	548	1	0	348	198648349	198648697	1
ENSG00000239006	AC105941.1	1	-1	ENST00000410741	105	0	-9	-9	-9	-9	1
ENSG00000263805	AL450244.1	1	-1	ENST00000583711	93	0	-9	-9	-9	-9	1
ENSG00000200139	U6	1	1	ENST00000363269	103	0	-9	-9	-9	-9	1
ENSG00000202491	U6	1	-1	ENST00000365621	103	0	-9	-9	-9	-9	1
ENSG00000202329	U6	1	-1	ENST00000365459	107	0	-9	-9	-9	-9	1
ENSG00000116833	NR5A2	1	1	ENST00000367362	5086	7	4	62384	200017946	200080330	1
ENSG00000116833	NR5A2	1	1	ENST00000367362	5086	7	6	53008	200090083	200143091	1
ENSG00000252860	U6	1	1	ENST00000517051	105	0	-9	-9	-9	-9	1
ENSG00000221403	AC096633.1	1	1	ENST00000408476	102	0	-9	-9	-9	-9	1
ENSG00000233827	FAM58BP	1	1	ENST00000424019	988	0	-9	-9	-9	-9	1
ENSG00000203721	SMIM16	1	-1	ENST00000367355	1417	4	3	25255	200312538	200337793	1
ENSG00000162702	ZNF281	1	-1	ENST00000294740	3132	1	0	227	200378847	200379074	1
ENSG00000118193	KIF14	1	-1	ENST00000367350	7274	29	21	5586	200539133	200544719	1
ENSG00000118197	DDX59	1	-1	ENST00000331314	2289	7	3	8351	200619804	200628155	1
ENSG00000118200	CAMSAP2	1	1	ENST00000358823	7352	16	1	46278	200730226	200776504	1
ENSG00000231333	RPL34P6	1	1	ENST00000432390	345	0	-9	-9	-9	-9	1
ENSG00000170128	GPR25	1	1	ENST00000304244	1224	0	-9	-9	-9	-9	1
ENSG00000163362	C1orf106	1	1	ENST00000413687	2197	9	4	6675	200870287	200876962	1
ENSG00000233217	MROH3P	1	1	ENST00000435735	2625	17	6	10758	200906460	200917218	1
ENSG00000201032	U6	1	-1	ENST00000364162	103	0	-9	-9	-9	-9	1
ENSG00000116852	KIF21B	1	-1	ENST00000422435	5519	34	0	13855	200978616	200992471	1
ENSG00000081248	CACNA1S	1	-1	ENST00000362061	6166	43	1	16143	201063149	201079292	1
ENSG00000232237	ASCL5	1	-1	ENST00000458416	837	1	0	81	201084642	201084723	1
ENSG00000116857	TMEM9	1	-1	ENST00000367330	1959	4	3	8005	201104943	201112948	1
ENSG00000163395	IGFN1	1	1	ENST00000335211	11810	23	17	2786	201187786	201190572	1
ENSG00000081277	PKP1	1	1	ENST00000263946	5447	14	1	19121	201263173	201282294	1
ENSG00000118194	TNNT2	1	-1	ENST00000509001	1330	15	0	4222	201342529	201346751	1
ENSG00000159166	LAD1	1	-1	ENST00000391967	2906	9	0	9966	201358431	201368397	1
ENSG00000159173	TNNI1	1	-1	ENST00000361379	5413	8	0	3861	201386940	201390801	1
ENSG00000174307	PHLDA3	1	-1	ENST00000367311	1531	1	0	2163	201435306	201437469	1
ENSG00000159176	CSRP1	1	-1	ENST00000367306	2129	6	1	10766	201465432	201476198	1
ENSG00000223396	RPS10P7	1	1	ENST00000441932	2329	1	0	9444	201489778	201499222	1
ENSG00000269690	AC096677.1	1	1	ENST00000593583	726	0	-9	-9	-9	-9	1
ENSG00000134369	NAV1	1	1	ENST00000367302	9139	29	2	63392	201618553	201681945	0
ENSG00000134369	NAV1	1	1	ENST00000367302	9139	29	4	61666	201687883	201749549	0
ENSG00000231871	IPO9-AS1	1	-1	ENST00000413035	839	2	1	128814	201657541	201786355	1
ENSG00000200942	U6	1	1	ENST00000364072	100	0	-9	-9	-9	-9	1
ENSG00000198700	IPO9	1	1	ENST00000361565	11435	23	0	17907	201798500	201816407	1
ENSG00000198892	SHISA4	1	1	ENST00000362011	1341	4	1	838	201858744	201859582	1
ENSG00000163431	LMOD1	1	-1	ENST00000367288	3970	2	0	45329	201869879	201915208	1
ENSG00000134375	TIMM17A	1	1	ENST00000367287	1659	5	2	6042	201926702	201932744	1
ENSG00000206637	SNORA70	1	1	ENST00000383910	135	0	-9	-9	-9	-9	1
ENSG00000176393	RNPEP	1	1	ENST00000295640	2427	10	2	6616	201958659	201965275	1
ENSG00000163435	ELF3	1	1	ENST00000359651	4994	7	6	1185	201983152	201984337	1
ENSG00000227109	CRIP1P3	1	1	ENST00000416794	220	0	-9	-9	-9	-9	1
ENSG00000170075	GPR37L1	1	1	ENST00000367282	2508	1	0	4148	202092721	202096869	1
ENSG00000143862	ARL8A	1	-1	ENST00000272217	1793	6	0	6002	202107576	202113578	1
ENSG00000143851	PTPN7	1	-1	ENST00000309017	3765	9	3	2130	202124737	202126867	1
ENSG00000243323	PTPRVP	1	1	ENST00000490225	5067	28	7	4581	202141368	202145949	1
ENSG00000133067	LGR6	1	1	ENST00000367278	3567	17	3	40313	202205121	202245434	1
ENSG00000133067	LGR6	1	1	ENST00000439764	2487	15	3	61515	202205121	202266636	0
ENSG00000077152	UBE2T	1	-1	ENST00000367274	922	6	0	6077	202304946	202311023	1
ENSG00000077157	PPP1R12B	1	1	ENST00000406302	11111	23	0	67645	202318270	202385915	1
ENSG00000077157	PPP1R12B	1	1	ENST00000406302	11111	23	17	62055	202465950	202528005	1
ENSG00000077157	PPP1R12B	1	1	ENST00000466273	347	3	0	56872	202471133	202528005	0
ENSG00000077157	PPP1R12B	1	1	ENST00000336894	11108	23	17	65803	202465950	202531753	0
ENSG00000201103	U6	1	-1	ENST00000364233	100	0	-9	-9	-9	-9	1
ENSG00000253042	SNORA70	1	-1	ENST00000517233	118	0	-9	-9	-9	-9	1
ENSG00000143858	SYT2	1	-1	ENST00000367267	7614	8	0	37489	202574917	202612406	1
ENSG00000143858	SYT2	1	-1	ENST00000367268	7598	8	0	104469	202574917	202679386	0
ENSG00000117139	KDM5B	1	-1	ENST00000367265	7438	26	0	31008	202746222	202777230	1
